"BFS Nr.";"Gemeinde";"1. Gesamtsteuerfuss ohne Kirche (in Prozent)";"2. Gesamtsteuerfuss ohne Kirche (in Prozent)";"3. Gesamtsteuerfuss ohne Kirche (in Prozent)";"Abweichung Vorjahr ohne Kirche (Prozentpunkte)";"1. Gesamtsteuerfuss mit ref. Kirche (in Prozent)";"2. Gesamtsteuerfuss mit ref. Kirche (in Prozent)";"3. Gesamtsteuerfuss mit ref. Kirche (in Prozent)";"Abweichung Vorjahr mit ref. Kirche (Prozentpunkte)";"1. Gesamtsteuerfuss mit kath. Kirche (in Prozent)";"2. Gesamtsteuerfuss mit kath. Kirche (in Prozent)";"3. Gesamtsteuerfuss mit kath. Kirche (in Prozent)";"Abweichung Vorjahr mit kath. Kirche (Prozentpunkte)";"1. Gesamtsteuerfuss mit christkath. Kirche (in Prozent)";"2. Gesamtsteuerfuss mit christkath. Kirche (in Prozent)";"3. Gesamtsteuerfuss mit christkath. Kirche (in Prozent)";"Abweichung Vorjahr mit christkath. Kirche (Prozentpunkte)";"Juristischer Steuerfuss";"Definitiv"
"226";"Schlatt";"123";"";"";"-2";"137";"";"";"-2";"135";"";"";"-2";"137";"";"";"-2";"136.64";"1"
"98";"Schleinikon";"106";"";"";"-2";"116";"";"";"-2";"116";"";"";"-2";"120";"";"";"-2";"116";"1"
"247";"Schlieren";"111";"";"";"0";"122";"";"";"0";"121";"";"";"0";"125";"";"";"0";"121.28";"1"
"197";"Schwerzenbach";"103";"";"";"-1";"114";"";"";"-1";"114";"";"";"-1";"117";"";"";"-1";"114";"1"
"99";"Schöfflisdorf";"94";"";"";"-5";"104";"";"";"-5";"104";"";"";"-5";"108";"";"";"-5";"104";"1"
"119";"Seegräben";"111";"";"";"0";"123";"";"";"0";"125";"";"";"0";"125";"";"";"0";"123.68";"1"
"227";"Seuzach";"100";"";"";"0";"112";"";"";"0";"112";"";"";"-1";"114";"";"";"0";"112";"1"
"100";"Stadel";"111";"";"";"-2";"125";"";"";"-2";"124";"";"";"-2";"125";"";"";"-2";"124.72";"1"
"13";"Stallikon";"101";"";"";"-2";"112";"";"";"-2";"112";"";"";"-2";"115";"";"";"-2";"112";"1"
"292";"Stammheim";"112";"";"";"-2";"126";"";"";"-2";"126";"";"";"-2";"126";"";"";"-2";"126";"1"
"101";"Steinmaur";"108";"";"";"0";"120";"";"";"0";"118";"";"";"0";"122";"";"";"0";"119.12";"1"
"158";"Stäfa";"83";"";"";"5";"94";"";"";"5";"94";"";"";"5";"97";"";"";"5";"94";"1"
"39";"Thalheim a.d.Th.";"117";"";"";"2";"129";"";"";"2";"129";"";"";"1";"131";"";"";"2";"129";"1"
"141";"Thalwil";"78";"";"";"0";"89";"";"";"0";"88";"";"";"0";"92";"";"";"0";"88.48";"1"
"41";"Truttikon";"107";"";"";"0";"121";"";"";"0";"121";"";"";"0";"121";"";"";"0";"121";"1"
"40";"Trüllikon";"110";"";"";"0";"124";"";"";"0";"124";"";"";"0";"124";"";"";"0";"124";"1"
"228";"Turbenthal";"122";"112";"";"0";"136";"126";"";"0";"135";"125";"";"0";"136";"126";"";"0";"135.67";"1"
"159";"Uetikon a.S.";"84";"";"";"0";"95";"";"";"0";"95";"";"";"0";"98";"";"";"0";"95";"1"
"248";"Uitikon";"78";"";"";"0";"88";"";"";"0";"88";"";"";"0";"92";"";"";"0";"88";"1"
"249";"Unterengstringen";"102";"";"";"0";"113";"";"";"0";"115";"";"";"0";"116";"";"";"0";"114.08";"1"
"250";"Urdorf";"115";"";"";"0";"125";"";"";"0";"126";"";"";"0";"129";"";"";"0";"125.57";"1"
"198";"Uster";"112";"110";"";"0";"123";"121";"";"0";"122";"120";"";"0";"126";"124";"";"0";"122.54";"1"
"43";"Volken";"111";"";"";"0";"123";"";"";"0";"124";"";"";"0";"125";"";"";"0";"123.22";"1"
"199";"Volketswil";"101";"";"";"0";"111";"";"";"0";"111";"";"";"0";"115";"";"";"0";"111";"1"
"120";"Wald";"122";"";"";"0";"136";"";"";"0";"134";"";"";"0";"136";"";"";"0";"135.02";"1"
"69";"Wallisellen";"93";"";"";"0";"100";"";"";"0";"101";"";"";"0";"107";"";"";"0";"100.55";"1"
"200";"Wangen-Brüttisellen";"101";"";"";"0";"112";"";"";"0";"109";"";"";"0";"115";"";"";"0";"110.44";"1"
"70";"Wasterkingen";"116";"";"";"0";"130";"";"";"0";"129";"";"";"0";"130";"";"";"0";"129.75";"1"
"102";"Weiach";"96";"";"";"0";"107";"";"";"0";"109";"";"";"0";"110";"";"";"0";"107.68";"1"
"251";"Weiningen";"107";"";"";"0";"118";"";"";"0";"116";"";"";"0";"121";"";"";"0";"116.92";"1"
"180";"Weisslingen";"116";"";"";"0";"129";"";"";"0";"129";"";"";"0";"130";"";"";"0";"129";"1"
"14";"Wettswil a.A.";"89";"";"";"-2";"100";"";"";"-2";"100";"";"";"-2";"103";"";"";"-2";"100";"1"
"121";"Wetzikon";"119";"";"";"0";"133";"";"";"0";"133";"";"";"0";"133";"";"";"0";"133";"1"
"298";"Wiesendangen";"86";"";"";"-2";"100";"100";"";"-2";"98";"99";"";"-3";"100";"";"";"-2";"99.36";"1"
"71";"Wil";"97";"";"";"-2";"111";"";"";"-2";"110";"";"";"-2";"111";"";"";"-2";"110.75";"1"
"181";"Wila";"122";"";"";"-3";"136";"";"";"-3";"135";"";"";"-3";"136";"";"";"-3";"135.72";"1"
"182";"Wildberg";"124";"";"";"-3";"138";"";"";"-3";"137";"";"";"-3";"138";"";"";"-3";"137.8";"1"
"72";"Winkel";"76";"";"";"0";"86";"";"";"0";"87";"";"";"0";"90";"";"";"0";"86.42";"1"
"230";"Winterthur";"125";"";"";"0";"138";"";"";"0";"142";"";"";"0";"139";"";"";"0";"139.72";"1"
"293";"Wädenswil";"102";"";"";"-1";"113";"116";"";"-1";"115";"";"";"-1";"116";"";"";"-1";"113.94";"1"
"231";"Zell";"115";"";"";"-3";"129";"";"";"-3";"127";"";"";"-3";"129";"";"";"-3";"128.22";"1"
"161";"Zollikon";"76";"";"";"0";"84";"";"";"0";"84";"";"";"0";"90";"";"";"0";"84";"1"
"160";"Zumikon";"71";"";"";"-4";"79";"";"";"-4";"79";"";"";"-4";"85";"";"";"-4";"79";"1"
"261";"Zürich";"119";"";"";"0";"129";"";"";"0";"129";"";"";"0";"133";"";"";"0";"129.03";"1"
